loss : 1.057480, modify_loss : 0.166210
loss : 1.033342, modify_loss : 0.190094
loss : 1.044907, modify_loss : 0.174959
loss : 1.098799, modify_loss : 0.163999
loss : 1.035058, modify_loss : 0.193267
loss : 1.115212, modify_loss : 0.172385
loss : 1.057516, modify_loss : 0.172555
loss : 0.977869, modify_loss : 0.197192
loss : 1.106963, modify_loss : 0.165744
loss : 1.150873, modify_loss : 0.147856
loss : 1.031560, modify_loss : 0.186635
loss : 1.053907, modify_loss : 0.185130
loss : 1.074185, modify_loss : 0.157297
loss : 1.022915, modify_loss : 0.184347
loss : 1.022096, modify_loss : 0.185673
loss : 1.019280, modify_loss : 0.174798
loss : 1.041187, modify_loss : 0.175254
loss : 1.086308, modify_loss : 0.173754
loss : 1.026301, modify_loss : 0.189918
loss : 1.140790, modify_loss : 0.153278
loss : 1.030091, modify_loss : 0.174390
loss : 1.097774, modify_loss : 0.171613
loss : 0.966929, modify_loss : 0.194554
loss : 1.066694, modify_loss : 0.179523
loss : 1.023475, modify_loss : 0.177957
loss : 1.003082, modify_loss : 0.184938
loss : 1.102729, modify_loss : 0.178827
loss : 1.086739, modify_loss : 0.194609
loss : 1.037760, modify_loss : 0.181948
loss : 1.008520, modify_loss : 0.197617
loss : 1.035279, modify_loss : 0.187778
loss : 1.021404, modify_loss : 0.185730
loss : 1.037223, modify_loss : 0.181637
loss : 0.995279, modify_loss : 0.188562
loss : 0.968658, modify_loss : 0.208267
loss : 0.986980, modify_loss : 0.200617
loss : 1.062765, modify_loss : 0.181580
loss : 1.019708, modify_loss : 0.167439
loss : 0.902758, modify_loss : 0.214882
loss : 1.027008, modify_loss : 0.187067
loss : 0.921138, modify_loss : 0.205553
loss : 1.027041, modify_loss : 0.173581
loss : 1.040508, modify_loss : 0.187636
loss : 0.974917, modify_loss : 0.199987
loss : 0.971744, modify_loss : 0.212513
loss : 1.022849, modify_loss : 0.195172
loss : 0.984550, modify_loss : 0.191187
loss : 0.907544, modify_loss : 0.215950
loss : 0.999080, modify_loss : 0.181324
loss : 1.045231, modify_loss : 0.176185
loss : 1.011109, modify_loss : 0.172042
loss : 0.912381, modify_loss : 0.207985
loss : 0.972878, modify_loss : 0.199832
loss : 1.021506, modify_loss : 0.171347
loss : 0.921890, modify_loss : 0.217529
loss : 1.002351, modify_loss : 0.196452
loss : 0.998195, modify_loss : 0.185224
loss : 0.992278, modify_loss : 0.197226
loss : 1.004086, modify_loss : 0.205517
loss : 1.018780, modify_loss : 0.210384
loss : 0.955120, modify_loss : 0.203271
loss : 0.925577, modify_loss : 0.214253
loss : 1.007297, modify_loss : 0.199042
loss : 0.931076, modify_loss : 0.218945
loss : 0.930963, modify_loss : 0.205156
loss : 0.986780, modify_loss : 0.229615
loss : 0.924515, modify_loss : 0.206786
loss : 1.001185, modify_loss : 0.192941
loss : 1.041694, modify_loss : 0.180861
loss : 0.946593, modify_loss : 0.198897
loss : 0.949139, modify_loss : 0.210371
loss : 0.963961, modify_loss : 0.199067
loss : 0.974793, modify_loss : 0.185633
loss : 0.954478, modify_loss : 0.204349
loss : 0.902529, modify_loss : 0.200714
loss : 0.902258, modify_loss : 0.221699
loss : 0.992073, modify_loss : 0.207277
loss : 0.954985, modify_loss : 0.225606
loss : 0.881969, modify_loss : 0.233696
loss : 0.893398, modify_loss : 0.225869
loss : 1.009563, modify_loss : 0.199205
loss : 0.926933, modify_loss : 0.215033
loss : 0.960906, modify_loss : 0.207015
loss : 0.928280, modify_loss : 0.217618
loss : 0.912448, modify_loss : 0.205803
loss : 0.972724, modify_loss : 0.206269
loss : 0.921441, modify_loss : 0.219524
loss : 0.904822, modify_loss : 0.247126
loss : 0.952178, modify_loss : 0.200075
loss : 0.926501, modify_loss : 0.216579
loss : 0.951602, modify_loss : 0.209923
loss : 0.951461, modify_loss : 0.196278
loss : 0.925922, modify_loss : 0.210126
loss : 0.892198, modify_loss : 0.212125
loss : 0.956368, modify_loss : 0.204728
loss : 0.861333, modify_loss : 0.228608
loss : 0.942312, modify_loss : 0.214847
loss : 0.998345, modify_loss : 0.222737
loss : 0.903197, modify_loss : 0.213432
loss : 0.897979, modify_loss : 0.224668
loss : 0.935342, modify_loss : 0.212816
loss : 0.838978, modify_loss : 0.229138
loss : 0.923129, modify_loss : 0.216577
loss : 0.943988, modify_loss : 0.220901
loss : 0.978939, modify_loss : 0.196998
loss : 0.947601, modify_loss : 0.186965
loss : 0.876808, modify_loss : 0.239409
loss : 0.922332, modify_loss : 0.214554
loss : 0.907689, modify_loss : 0.202843
loss : 0.948240, modify_loss : 0.208014
loss : 0.925496, modify_loss : 0.201299
loss : 0.849077, modify_loss : 0.228322
loss : 0.867660, modify_loss : 0.223691
loss : 0.906640, modify_loss : 0.223119
loss : 0.869127, modify_loss : 0.221555
loss : 0.880961, modify_loss : 0.223541
loss : 0.839572, modify_loss : 0.257794
loss : 0.912796, modify_loss : 0.221846
loss : 0.917181, modify_loss : 0.213388
loss : 0.899562, modify_loss : 0.226556
loss : 0.983808, modify_loss : 0.208900
loss : 0.858712, modify_loss : 0.222578
loss : 0.917771, modify_loss : 0.201634
loss : 0.850954, modify_loss : 0.218038
loss : 0.858015, modify_loss : 0.214255
loss : 0.865158, modify_loss : 0.226212
